Session;Académie;Sexe;Statut du candidat;Voie;Série;Diplôme spécialité;Nombre d'inscrits;Nombre de présents;Nombre d'admis au 1er groupe;Nombre de refusés au 1er groupe;Nombre d'ajournés, passant les épreuves du 2nd groupe;Nombre d'admis à l'issue du 2nd groupe;Nombre de refusés à l'issue du 2nd groupe;Nombre d'admis totaux;Nombre d'admis avec mention TB avec les félicitations du jury;Nombre d'admis avec mention TB sans les félicitations du jury;Nombre d'admis avec mention B;Nombre d'admis avec mention AB;Nombre d'admis sans mention;Nombre de refusés totaux
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 22004 PROC. CHIMIE EAU PAPIERS-CARTONS;27.0;27.0;20.0;5.0;2.0;1.0;1.0;21.0;0.0;0.0;3.0;8.0;10.0;6.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 23303 MENUISERIE ALUMINIUM-VERRE;9.0;9.0;2.0;4.0;3.0;0.0;3.0;2.0;0.0;0.0;0.0;1.0;1.0;7.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25006 MICROTECHNIQUES;19.0;19.0;13.0;5.0;1.0;1.0;0.0;14.0;0.0;0.0;3.0;3.0;8.0;5.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25215 MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT;18.0;18.0;14.0;4.0;0.0;0.0;0.0;14.0;0.0;1.0;2.0;7.0;4.0;4.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25406 OUVRAGES DU BATIMENT METALLERIE;19.0;19.0;18.0;0.0;1.0;1.0;0.0;19.0;0.0;1.0;4.0;6.0;8.0;0.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25411 TECH.CHAUDRONNERIE INDUSTRIELLE;71.0;71.0;58.0;7.0;6.0;0.0;6.0;58.0;0.0;3.0;13.0;20.0;22.0;13.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31210 ACCUEIL -RELATION CLIENTS USAGERS;31.0;31.0;28.0;2.0;1.0;1.0;0.0;29.0;0.0;0.0;5.0;12.0;12.0;2.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 33403 COMMERC. SERVICES EN RESTAURATION;32.0;32.0;25.0;5.0;2.0;0.0;2.0;25.0;0.0;1.0;5.0;11.0;8.0;7.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 34304 HYGIENE PROPRETE STERILISATION;5.0;5.0;3.0;0.0;2.0;1.0;1.0;4.0;0.0;0.0;0.0;1.0;3.0;1.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC TECHNOLOGIQUE;STI2D;BAC STI2D SYSTÈME D'INFORMATION  ET NUMERIQUE;254.0;254.0;228.0;7.0;19.0;12.0;7.0;240.0;0.0;1.0;37.0;96.0;106.0;14.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC TECHNOLOGIQUE;STMG;BAC STMG RESSOURCES HUMAINES ET COMMUNICATION;116.0;116.0;97.0;3.0;16.0;7.0;9.0;104.0;0.0;3.0;10.0;31.0;60.0;12.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC TECHNOLOGIQUE;STMG;BAC STMG SYSTEMES D'INFORMATION DE GESTION;40.0;40.0;33.0;3.0;4.0;1.0;3.0;34.0;0.0;0.0;0.0;12.0;22.0;6.0
2021;TOULOUSE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 22107 TEC CONS VTE ALIMENTATION P.ALIM;7.0;7.0;6.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;3.0;3.0;1.0
2021;TOULOUSE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25106 TECHNICIEN D'USINAGE;4.0;4.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;2.0;0.0;1.0;0.0
2021;TOULOUSE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25214 MAINT.VEHIC.OPTA VOIT.PARTICUL.;6.0;6.0;5.0;1.0;0.0;0.0;0.0;5.0;0.0;1.0;1.0;2.0;1.0;1.0
2021;TOULOUSE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25510 METIERS ELECT. ENVIRON. CONNECTES;2.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
2021;TOULOUSE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31210 ACCUEIL -RELATION CLIENTS USAGERS;11.0;11.0;11.0;0.0;0.0;0.0;0.0;11.0;0.0;2.0;2.0;4.0;3.0;0.0
2021;TOULOUSE;FILLES;ENSEIGNEMENT A DISTANCE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 33004 ACC.SOINS-S.PERS. OPT.EN STRUCTUR;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2021;TOULOUSE;FILLES;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 22703 TECHN.INSTALL.SYST.ENERG.CLIMATI;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
2021;TOULOUSE;FILLES;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 33403 COMMERC. SERVICES EN RESTAURATION;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2021;TOULOUSE;FILLES;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21114 CONDUITE PRODUCTIONS HORTICOLES;8.0;6.0;6.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;6.0;0.0
2021;TOULOUSE;FILLES;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21203 TECHN CONSEIL DE VENTE ANIMAL;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2021;TOULOUSE;FILLES;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21405 AMENAGEMENTS PAYSAGERS;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2021;TOULOUSE;FILLES;INDIVIDUEL;BAC TECHNOLOGIQUE;STMG;BAC STMG GESTION ET FINANCE;5.0;3.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0
2021;TOULOUSE;FILLES;INDIVIDUEL;BAC TECHNOLOGIQUE;STMG;BAC STMG RESSOURCES HUMAINES ET COMMUNICATION;13.0;7.0;3.0;2.0;2.0;2.0;0.0;5.0;0.0;0.0;0.0;1.0;4.0;2.0
2021;TOULOUSE;FILLES;INDIVIDUEL;BAC TECHNOLOGIQUE;STMG;BAC STMG SYSTEMES D'INFORMATION DE GESTION;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21406 TEC CONS VTE PROD DES JARDINS;7.0;7.0;7.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;2.0;3.0;2.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25006 MICROTECHNIQUES;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25007 MAINTENANCE EQUIPEMENTS INDUST.;9.0;9.0;6.0;2.0;1.0;1.0;0.0;7.0;0.0;1.0;1.0;1.0;4.0;2.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25106 TECHNICIEN D'USINAGE;5.0;5.0;5.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;4.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25214 MAINT.VEHIC.OPTA VOIT.PARTICUL.;6.0;6.0;6.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;4.0;2.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25221 MAINT.MATERIELS OPT.C ESP. VERTS;2.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25302 AERONAUTIQUE OPTION AVIONIQUE;12.0;12.0;12.0;0.0;0.0;0.0;0.0;12.0;0.0;5.0;4.0;3.0;0.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25303 AERONAUTIQUE OPTION SYSTEMES;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25509 TECHNIC. FROID CONDITIONNEMT AIR;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25514 SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31107 CONDUCT. TRANSP.ROUT.MARCHANDISES;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31206 VENTE (PROSPECT.NEGO.SUIV.CLIENT;101.0;101.0;79.0;16.0;6.0;4.0;2.0;83.0;0.0;5.0;20.0;32.0;26.0;18.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 33102 PROTHESE DENTAIRE;26.0;25.0;25.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;9.0;12.0;4.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC TECHNOLOGIQUE;STI2D;BAC STI2D INNOVATION TECHNO.  ET ECO CONCEPTION;33.0;33.0;32.0;0.0;1.0;1.0;0.0;33.0;0.0;3.0;7.0;16.0;7.0;0.0
2021;TOULOUSE;FILLES;SCOLAIRE;BAC TECHNOLOGIQUE;STMG;BAC STMG RESSOURCES HUMAINES ET COMMUNICATION;415.0;415.0;367.0;12.0;36.0;18.0;18.0;385.0;0.0;7.0;51.0;150.0;177.0;30.0
2021;TOULOUSE;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21004 CGEA;30.0;29.0;24.0;5.0;0.0;0.0;0.0;24.0;0.0;0.0;4.0;7.0;13.0;5.0
2021;TOULOUSE;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21405 AMENAGEMENTS PAYSAGERS;21.0;20.0;19.0;1.0;0.0;0.0;0.0;19.0;0.0;1.0;2.0;4.0;12.0;1.0
2021;TOULOUSE;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 22106 CUISINE;7.0;6.0;4.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;2.0;1.0;2.0
2021;TOULOUSE;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 23404 TECHNICIEN CONSTRUCTEUR BOIS;3.0;3.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0
2021;TOULOUSE;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25221 MAINT.MATERIELS OPT.C ESP. VERTS;5.0;5.0;4.0;0.0;1.0;1.0;0.0;5.0;0.0;0.0;1.0;3.0;1.0;0.0
2021;TOULOUSE;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25302 AERONAUTIQUE OPTION AVIONIQUE;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
